Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Self.png,You,,,,,,,0,0,0,0,,,,,,,,,,,,,19.177814299997408,None,0.002280029992107302,0.5217403299902799,21.166641500007245,None,23.324468000006163,None,23.324468000006163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Friend.png,Friend,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,43.2217066000012,None,43.2217066000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Stranger.png,Stranger,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,63.22930259999703,None,63.22930259999703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,83.1780010000075,None,90.6665600999986,None,space,1.0319988999981433,2.0087653899972793,None,93.70202520000748,None,1.739,2.207,96.7182235000073,None,97.35172540000349,97.85520230000839,97.83849380000902,97.95526750000136,97.83849380000902,97.95526750000136,97.93855330000224,None,c,0,1.3100311000016518,97.93855330000224,None,99.2741107000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1.584,1.885,99.67335740000999,None,100.2123142000055,100.7239499999996,100.70725300000049,100.80730739999854,100.70725300000049,100.80730739999854,100.80730739999854,None,c,1,1.0651873000024352,100.80730739999854,None,101.8903699000075,None,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,1.539,1.826,102.29173199999786,None,102.82166580000194,103.32582120000734,103.30921360000502,103.4092079000111,103.30921360000502,103.4092079000111,103.4092079000111,None,m,0,0.9753685999894515,103.4092079000111,None,104.40973310000845,None,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1.712,2.167,104.81078890000936,None,105.35297620001074,105.86105249999673,105.84432560000278,105.96105589999934,105.84432560000278,105.96105589999934,105.94436400000995,None,m,1,1.368172999995295,105.94436400000995,None,107.32736500000465,None,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Friend.png,You,Friend,m,1.2,14,24,94,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,1.498,1.403,107.72899410000537,None,108.26093770000443,108.76308289999724,108.74649520000094,108.84639960000641,108.74649520000094,108.84639960000641,108.84639960000641,None,m,1,1.4102197000029264,108.84639960000641,None,110.2808698000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,1.501,1.532,110.68114480000804,None,111.21066240000073,111.71521160000702,111.69853490000241,111.79856910000672,111.69853490000241,111.79856910000672,111.79856910000672,None,m,1,1.0178578000050038,111.79856910000672,None,112.83276960000512,None,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,1.405,1.278,113.2331780000095,None,113.77101180001046,114.28372300000046,114.26707020000322,114.3837910000002,114.26707020000322,114.3837910000002,114.36711930000456,None,m,0,1.1374660000001313,114.36711930000456,None,115.53486890000931,None,,,,,,,,,,,,,,,,,,,,,,,,,,p162,2022_Apr_14_1114,training+cueing,2021.1.4,59.720995452934794,
