Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,resp.rt,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,1.412,2.462,178.17250539991073,None,178.71136630000547,179.22313579998445,179.20647249999456,179.323182299966,179.20647249999456,179.323182299966,179.30652609991375,None,c,0,179.30652609991375,None,180.25379569991492,None,0.9133650999283418,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,1.459,1.525,180.6575456999708,None,181.1912680999376,181.69159209995996,181.6749348999001,181.79163609992247,181.6749348999001,181.79163609992247,181.79163609992247,None,m,1,181.79163609992247,None,182.58577359991614,None,0.7644294999772683,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,Friend,Self ,m,2.1,16,26,96,,,,,0,0,0,0,0,10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,1.704,1.656,182.99326549994294,None,183.52645149989985,184.02661529998295,184.00994819996413,184.12666869990062,184.00994819996413,184.12666869990062,184.12666869990062,None,m,1,184.12666869990062,None,185.52772499993443,None,1.3729186001000926,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,1.724,1.518,185.9282367998967,None,186.466375399963,186.97875069989823,186.962074299925,187.06213199999183,186.962074299925,187.06213199999183,187.06213199999183,None,m,1,187.06213199999183,None,187.9651321999263,None,0.8857690000440925,,,,,,,,,,,,,,,,,,,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,212.88087200000882,None,1.402,1.891,216.41073429991957,None,,,,,,,,,,,,,,,,188.37995679990854,None,0.014831859967671335,None,217.00862029998098,217.51744699990377,0.5157019399339333,1.0161927399458364,217.50082799990196,217.60081729991361,217.50082799990196,217.60081729991361,217.60081729991361,None,None,0,217.60081729991361,None,,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,1.499,1.227,219.10988819994964,None,,,,,,,,,,,,,,,,,,,,219.65147809998598,220.15269419993274,0.5015280800871551,1.0018261800287291,220.1360162999481,220.25275159999728,220.1360162999481,220.25275159999728,220.25275159999728,None,c,0,220.25275159999728,None,1.3268564000027254,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,1.607,1.68,221.7101868999889,None,,,,,,,,,,,,,,,,,,,,222.24918229994364,222.75457939994521,0.5113237799378112,1.0123733798973262,222.73792429990135,222.85464379994664,222.73792429990135,222.85464379994664,222.83792049996555,None,c,1,222.83792049996555,None,0.9017683999845758,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,1.688,1.326,223.86290670000017,None,,,,,,,,,,,,,,,,,,,,224.40446639992297,224.90610449993983,0.5019905801163986,1.0022819801233709,224.88946440001018,225.00616469990928,224.88946440001018,225.00616469990928,224.98947739996947,None,c,1,224.98947739996947,None,0.9262285999720916,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,1.727,1.718,226.0479633999057,None,,,,,,,,,,,,,,,,,,,,226.58860949997324,227.0910290000029,0.5056465800153092,1.0059371800161898,227.0743661999004,227.17438419989776,227.0743661999004,227.17438419989776,227.17438419989776,None,m,1,227.17438419989776,None,0.8052040000911802,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,1.767,2.042,228.1145631999243,None,,,,,,,,,,,,,,,,,,,,228.6573311999673,229.15936419996433,0.5056974799372256,1.0059462799690664,229.14270629989915,229.25942559994292,229.14270629989915,229.25942559994292,229.2427139999345,None,c,1,229.2427139999345,None,0.8489876999519765,,,,,,,p17,2022_Apr_19_1054,training+cueing,2021.1.4,59.95394339292472,
