Image,Name,Face,CorrAns,Match,Face_onset,CResponse_onset,IResponse_onset,Match.thisRepN,Match.thisTrialN,Match.thisN,Match.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,p1.started,p1.stopped,MatchInstructions.started,MatchInstructions.stopped,Name1.started,Name1.stopped,Face_Relevance.started,Face_Relevance.stopped,MismatchInstructions.started,MismatchInstructions.stopped,Rest_trainingInstruct.started,Rest_trainingInstruct.stopped,next8.keys,next8.rt,next8.started,next8.stopped,Ready.started,Ready.stopped,delay_one_picked,delay_two_picked,blank0.started,blank0.stopped,FixationCross1.started,FixationCross1.stopped,Name3.started,Name3.stopped,Face_Relevance3.started,Face_Relevance3.stopped,responseTime.started,responseTime.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,Accuracy.started,Accuracy.stopped,questions.started,questions.stopped,p2.started,p2.stopped,FixationCross3.started,FixationCross3.stopped,port_Face_onset.started,port_Face_onset.stopped,Name4.started,Name4.stopped,Face_Relevance4.started,Face_Relevance4.stopped,responseTime2.started,responseTime2.stopped,Response.keys,Response.corr,Response.started,Response.stopped,Response.rt,p3.started,p3.stopped,Finish.started,Finish.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
Stranger.png,Friend,Stranger,m,2.3,17,27,97,,,,,0,0,0,0,0,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,1.722,2.214,123.06777149997652,None,123.6061935997568,124.11847419990227,124.10186959989369,124.21851880010217,124.10186959989369,124.21851880010217,124.20185599988326,None,m,1,1.6025358997285366,124.20185599988326,None,125.83507889974862,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,1.722,1.29,126.23664940008894,None,126.77209089975804,127.28748880000785,127.27088940003887,127.38757220003754,127.27088940003887,127.38757220003754,127.37089869985357,None,c,0,1.2656169002875686,127.37089869985357,None,128.66404379997402,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,1.566,2.392,129.0719902999699,None,129.60445019975305,130.1061535999179,130.0895178001374,130.18954910011962,130.0895178001374,130.18954910011962,130.18954910011962,None,c,1,1.3747901995666325,130.18954910011962,None,131.58941720006987,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,1.737,2.015,131.9907995997928,None,132.52596319979057,133.02488959999755,133.02488959999755,133.12494699982926,133.02488959999755,133.12494699982926,133.12494699982926,None,c,1,1.1915115001611412,133.12494699982926,None,134.34244889998809,None,,,,,,,,,,,,,,,,,,,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Stranger,Friend,m,3.2,19,29,99,,,,,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,179.84221210004762,None,1.444,2.084,183.35645639989525,None,,,,,,,,,,,,,,,,134.7429542997852,None,0.014795159921050072,0.5131388599984348,183.98617319995537,184.49543529981747,0.4995384798385203,1.0000187796540558,184.47875709971413,184.59543519979343,184.47875709971413,184.59543519979343,184.59543519979343,None,None,0,184.59543519979343,None,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Friend.png,Friend,Friend,c,2,12,22,92,,,,,0,0,0,0,,,,,0,1,1,10,,,,,,,,,,,,,,,,,,,,,1.451,1.239,186.1541777998209,None,,,,,,,,,,,,,,,,,,,,186.72854000004008,187.23091229982674,0.5072494000196457,1.0075106997974217,187.21418999973685,187.3308313000016,187.21418999973685,187.3308313000016,187.31420180015266,None,None,0,187.31420180015266,None,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,Stranger,Stranger,c,3,13,23,93,,,,,0,0,0,0,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,1.53,2.181,188.87272049998865,None,,,,,,,,,,,,,,,,,,,,189.41578919999301,189.91599839972332,0.5015980801545084,1.0019155801273882,189.89924139995128,190.01620730012655,189.89924139995128,190.01620730012655,189.9992780997418,None,None,0,189.9992780997418,None,,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Stranger.png,You,Stranger,m,1.3,15,25,95,,,,,0,0,0,0,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,1.747,1.919,191.6387728000991,None,,,,,,,,,,,,,,,,,,,,192.18152680015191,192.68467779969797,0.5049894796684384,1.0054845795966685,192.66794590000063,192.76795809995383,192.66794590000063,192.76795809995383,192.76795809995383,None,m,1,192.76795809995383,None,0.8123955000191927,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,Stranger,Self ,m,3.1,18,28,98,,,,,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,1.573,1.671,193.71024309983477,None,,,,,,,,,,,,,,,,,,,,194.25289219990373,194.7530435998924,0.5010315799154341,1.001166079659015,194.73622289998457,194.85285140015185,194.73622289998457,194.85285140015185,194.85285140015185,None,m,1,194.85285140015185,None,0.9354824000038207,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
Self.png,You,Self ,c,1,11,21,91,,,,,0,0,0,0,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,1.548,2.095,195.9261679998599,None,,,,,,,,,,,,,,,,,,,,196.46732980012894,196.97104359976947,0.5073159798048437,1.0079800798557699,196.95440430007875,197.05445729987696,196.95440430007875,197.05445729987696,197.05445729987696,None,c,1,197.05445729987696,None,0.8779333001002669,,,,,,,pz2,2022_May_09_1441,training+cueing,2021.1.4,59.9213233590678,
