subject,trialnum,shapeassociation,matchingcondition,response,correct,latency
995543570,121,friend,matching,47,0,481
995543570,123,friend,mismatching,47,1,664
995543570,125,friend,matching,48,1,710
995543570,127,self,mismatching,47,1,542
995543570,129,self,matching,48,1,437
995543570,131,friend,mismatching,47,1,605
995543570,133,friend,matching,48,1,513
995543570,135,self,matching,48,1,527
995543570,137,self,matching,47,0,661
995543570,139,friend,matching,48,1,715
995543570,141,friend,mismatching,47,1,521
995543570,143,friend,mismatching,48,0,574
995543570,145,self,matching,48,1,482
995543570,147,friend,mismatching,47,1,612
995543570,149,friend,matching,48,1,412
995543570,151,self,mismatching,47,1,455
995543570,153,self,mismatching,47,1,688
995543570,155,self,mismatching,47,1,423
995543570,157,friend,mismatching,47,1,607
995543570,159,self,mismatching,47,1,679
995543570,161,self,matching,48,1,802
995543570,163,self,matching,48,1,486
995543570,165,self,matching,48,1,414
995543570,167,friend,matching,47,0,403
995543570,169,friend,matching,48,1,310
995543570,171,friend,matching,48,1,336
995543570,173,friend,matching,48,1,212
995543570,175,self,matching,48,1,452
995543570,177,friend,mismatching,48,0,586
995543570,179,friend,matching,48,1,586
995543570,181,self,matching,48,1,950
995543570,183,friend,mismatching,47,1,667
995543570,185,friend,mismatching,47,1,527
995543570,187,friend,mismatching,47,1,709
995543570,189,friend,matching,48,1,430
995543570,191,friend,matching,48,1,285
995543570,193,friend,mismatching,47,1,542
995543570,195,friend,matching,48,1,479
995543570,197,self,matching,48,1,530
995543570,199,friend,matching,48,1,519
995543570,201,friend,matching,48,1,380
995543570,203,self,mismatching,47,1,623
995543570,205,friend,mismatching,47,1,681
995543570,207,friend,mismatching,47,1,424
995543570,209,friend,mismatching,47,1,335
995543570,211,friend,mismatching,47,1,264
995543570,213,friend,matching,48,1,615
995543570,215,self,mismatching,47,1,596
995543570,217,self,matching,48,1,489
995543570,219,friend,matching,48,1,635
995543570,221,friend,mismatching,47,1,489
995543570,223,self,matching,48,1,503
995543570,225,self,mismatching,47,1,314
995543570,227,friend,matching,48,1,526
995543570,229,self,mismatching,47,1,457
995543570,231,self,matching,48,1,514
995543570,233,self,mismatching,47,1,534
995543570,235,friend,matching,48,1,426
995543570,237,self,mismatching,47,1,450
995543570,239,self,mismatching,47,1,564
995543571,1,self,matching,47,1,1058
995543571,3,friend,mismatching,47,0,879
995543571,5,self,matching,47,1,715
995543571,7,friend,mismatching,48,1,944
995543571,9,self,matching,47,1,913
995543571,11,self,mismatching,48,1,1115
995543571,13,friend,matching,47,1,1112
995543571,15,self,mismatching,48,1,1142
995543571,17,self,mismatching,48,1,1086
995543571,21,friend,mismatching,48,1,1194
995543571,23,self,mismatching,48,1,815
995543571,25,self,matching,47,1,748
995543571,27,friend,matching,47,1,1155
995543571,29,self,mismatching,48,1,993
995543571,31,friend,matching,47,1,1098
995543571,35,self,matching,47,1,988
995543571,37,friend,matching,47,1,1007
995543571,39,friend,mismatching,48,1,852
995543571,41,self,mismatching,48,1,858
995543571,43,friend,mismatching,48,1,1001
995543571,49,friend,mismatching,48,1,828
995543571,51,friend,matching,47,1,870
995543571,53,friend,mismatching,48,1,985
995543571,55,self,matching,47,1,758
995543571,57,self,matching,47,1,704
995543571,59,self,matching,47,1,546
995543571,61,friend,mismatching,48,1,744
995543571,63,self,matching,47,1,837
995543571,65,self,mismatching,48,1,830
995543571,67,self,mismatching,48,1,975
995543571,69,friend,mismatching,48,1,869
995543571,71,friend,matching,47,1,1026
995543571,75,self,matching,47,1,737
995543571,77,friend,matching,47,1,1097
995543571,81,friend,matching,47,1,924
995543571,83,friend,matching,47,1,850
995543571,85,friend,matching,47,1,606
995543571,87,self,mismatching,48,1,813
995543571,89,self,matching,47,1,972
995543571,95,friend,mismatching,48,1,1022
995543571,97,self,matching,47,1,609
995543571,99,friend,matching,47,1,789
995543571,101,self,mismatching,48,1,783
995543571,103,self,matching,47,1,570
995543571,105,friend,mismatching,48,1,858
995543571,107,friend,matching,47,1,852
995543571,109,self,mismatching,48,1,844
995543571,111,self,matching,47,1,717
995543571,113,friend,mismatching,48,1,825
995543571,115,self,matching,47,1,767
995543571,117,self,mismatching,48,1,741
995543571,119,friend,matching,47,1,770
995543571,121,self,mismatching,48,1,809
995543571,123,friend,mismatching,48,1,870
995543571,125,self,mismatching,48,1,1185
995543571,127,self,mismatching,48,1,780
995543571,129,friend,mismatching,48,1,710
995543571,131,friend,mismatching,47,0,808
995543571,133,self,mismatching,48,1,909
995543571,135,friend,matching,47,1,1044
995543571,137,friend,mismatching,48,1,723
995543571,139,friend,mismatching,48,1,908
995543571,141,friend,matching,48,0,655
995543571,143,self,mismatching,48,1,978
995543571,145,friend,matching,47,1,899
995543571,147,friend,mismatching,48,1,781
995543571,151,self,matching,47,1,768
995543571,153,friend,mismatching,48,1,596
995543571,157,friend,matching,47,1,877
995543571,159,friend,matching,47,1,1171
995543571,161,friend,matching,47,1,553
995543571,163,friend,mismatching,48,1,648
995543571,165,friend,mismatching,48,1,797
995543571,167,self,mismatching,48,1,1076
995543571,169,self,matching,47,1,606
995543571,171,friend,mismatching,48,1,540
995543571,173,friend,matching,47,1,1047
995543571,175,friend,matching,47,1,659
995543571,177,friend,mismatching,48,1,616
995543571,179,self,mismatching,48,1,1132
995543571,181,self,matching,47,1,758
995543571,183,self,mismatching,48,1,722
995543571,185,friend,mismatching,48,1,788
995543571,187,friend,mismatching,48,1,737
995543571,189,friend,matching,48,0,783
995543571,191,self,matching,47,1,635
995543571,193,friend,mismatching,48,1,766
995543571,195,self,matching,47,1,715
995543571,197,friend,mismatching,48,1,1200
995543571,199,self,matching,47,1,896
995543571,201,friend,matching,48,0,568
995543571,203,friend,mismatching,48,1,777
995543571,205,friend,mismatching,48,1,812
995543571,207,friend,matching,48,0,1140
995543571,209,self,matching,47,1,775
995543571,211,self,matching,47,1,430
995543571,213,self,mismatching,48,1,635
995543571,215,self,matching,47,1,756
995543571,217,self,matching,47,1,720
995543571,219,self,mismatching,47,0,485
995543571,221,self,matching,47,1,1033
995543571,223,friend,matching,48,0,495
995543571,225,self,matching,47,1,1197
995543571,227,self,mismatching,48,1,787
995543571,229,self,mismatching,48,1,783
995543571,231,self,matching,47,1,665
995543571,235,friend,mismatching,48,1,742
995543571,237,self,matching,47,1,694
995543574,3,self,matching,48,1,1089
995543574,5,friend,mismatching,47,1,850
995543574,7,friend,matching,47,0,1097
995543574,11,self,mismatching,47,1,961
995543574,13,self,mismatching,47,1,465
995543574,15,friend,mismatching,48,0,621
995543574,17,self,mismatching,47,1,1040
995543574,19,self,matching,48,1,640
995543574,23,friend,mismatching,47,1,1123
995543574,25,self,matching,48,1,888
995543574,27,friend,matching,47,0,651
995543574,29,self,matching,48,1,907
995543574,31,self,matching,48,1,788
995543574,33,self,matching,48,1,572
995543574,35,friend,mismatching,47,1,807
995543574,37,friend,mismatching,47,1,616
995543574,41,self,matching,48,1,860
995543574,43,friend,mismatching,47,1,838
995543574,45,self,matching,48,1,771
995543574,47,friend,mismatching,47,1,644
995543574,49,self,mismatching,47,1,916
995543574,51,friend,matching,48,1,703
995543574,53,friend,matching,48,1,704
995543574,55,friend,mismatching,47,1,643
995543574,57,self,mismatching,47,1,730
995543574,59,friend,matching,48,1,714
995543574,61,self,matching,48,1,934
995543574,63,friend,mismatching,47,1,613
995543574,65,self,matching,48,1,613
995543574,67,self,matching,48,1,824
995543574,69,self,mismatching,47,1,784
995543574,71,self,mismatching,47,1,780
995543574,73,friend,matching,48,1,778
995543574,75,self,mismatching,47,1,716
995543574,77,friend,matching,48,1,852
995543574,79,friend,matching,48,1,743
995543574,81,self,mismatching,47,1,606
995543574,83,friend,mismatching,48,0,1004
995543574,85,friend,mismatching,47,1,766
995543574,87,friend,matching,48,1,776
995543574,89,friend,matching,48,1,747
995543574,91,friend,matching,48,1,601
995543574,93,self,matching,48,1,675
995543574,95,self,matching,48,1,549
995543574,97,friend,mismatching,47,1,594
995543574,99,self,matching,48,1,542
995543574,101,friend,mismatching,47,1,710
995543574,103,self,matching,48,1,405
995543574,105,friend,mismatching,47,1,610
995543574,107,self,mismatching,47,1,788
995543574,109,friend,mismatching,47,1,649
995543574,111,self,mismatching,48,0,446
995543574,113,friend,mismatching,47,1,649
995543574,115,friend,matching,48,1,827
995543574,117,friend,mismatching,47,1,633
995543574,119,friend,mismatching,47,1,581
995543574,121,friend,mismatching,47,1,342
995543574,123,friend,mismatching,47,1,281
995543574,125,self,mismatching,47,1,813
995543574,127,self,matching,48,1,706
995543574,129,friend,matching,48,1,623
995543574,131,friend,matching,47,0,1046
995543574,133,friend,mismatching,47,1,698
995543574,135,self,matching,48,1,601
995543574,137,friend,mismatching,47,1,672
995543574,139,friend,matching,48,1,712
995543574,141,self,matching,48,1,820
995543574,143,self,matching,48,1,614
995543574,145,self,mismatching,47,1,798
995543574,147,self,mismatching,47,1,651
995543574,149,friend,mismatching,47,1,805
995543574,151,self,matching,48,1,747
995543574,153,friend,matching,48,1,651
995543574,155,self,matching,48,1,768
995543574,157,friend,matching,48,1,707
995543574,159,friend,matching,48,1,684
995543574,161,self,mismatching,47,1,718
995543574,163,friend,matching,48,1,646
995543574,165,self,matching,48,1,767
995543574,167,self,mismatching,47,1,655
995543574,169,self,matching,48,1,683
995543574,171,self,mismatching,47,1,708
995543574,173,friend,mismatching,47,1,1015
995543574,175,self,matching,48,1,580
995543574,177,friend,mismatching,47,1,631
995543574,179,self,mismatching,47,1,661
995543574,181,friend,matching,48,1,650
995543574,183,self,mismatching,47,1,792
995543574,185,self,mismatching,47,1,519
995543574,187,self,mismatching,47,1,681
995543574,189,friend,mismatching,47,1,871
995543574,191,self,mismatching,47,1,686
995543574,193,self,mismatching,47,1,647
995543574,195,self,matching,48,1,781
995543574,197,friend,matching,48,1,699
995543574,199,self,matching,48,1,898
995543574,201,friend,mismatching,47,1,641
995543574,203,self,matching,48,1,905
995543574,205,friend,mismatching,47,1,597
995543574,207,friend,matching,48,1,652
995543574,209,self,mismatching,47,1,621
995543574,211,self,mismatching,47,1,780
995543574,213,friend,matching,48,1,653
995543574,215,friend,matching,48,1,633
995543574,217,friend,matching,48,1,517
995543574,219,self,mismatching,47,1,592
995543574,221,self,mismatching,47,1,476
995543574,223,friend,matching,48,1,762
995543574,225,self,matching,48,1,637
995543574,227,self,matching,48,1,657
995543574,229,self,matching,48,1,446
995543574,231,friend,mismatching,47,1,492
995543574,233,self,mismatching,47,1,814
995543574,235,friend,mismatching,47,1,555
995543574,237,self,mismatching,47,1,781
995543574,239,friend,matching,48,1,636
995543580,5,friend,mismatching,48,0,533
995543580,23,friend,mismatching,48,0,1058
995543580,25,friend,mismatching,47,1,725
995543580,27,friend,mismatching,47,1,852
995543580,29,self,mismatching,47,1,863
995543580,31,self,matching,48,1,686
