,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,shape,word,MATCHkey,RT,correct,question,response,condition,TaskType,Association
36751,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,octagon,label_friend,you,lbl_friend,x,1139,1,NA,c,mismatch,PMT2,you
36851,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,rhomboid,label_neutral,happy,lbl_neutral,x,524,0,NA,x,mismatch,PMT2,happy
36951,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,triangle,label_you,friend,lbl_you,x,964,1,NA,c,mismatch,PMT2,friend
37051,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,rhomboid,label_happy,happy,lbl_happy,x,1132,1,NA,x,match,PMT2,happy
37181,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,diamond,label_happy,neutral,lbl_happy,x,1100,1,NA,c,mismatch,PMT2,neutral
37253,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,triangle,label_friend,friend,lbl_friend,x,829,1,NA,x,match,PMT2,friend
37351,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,rhomboid,label_neutral,happy,lbl_neutral,x,965,0,NA,x,mismatch,PMT2,happy
37451,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,octagon,label_you,you,lbl_you,x,696,1,NA,x,match,PMT2,you
37551,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,diamond,label_neutral,neutral,lbl_neutral,x,701,0,NA,c,match,PMT2,neutral
37651,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,diamond,label_neutral,neutral,lbl_neutral,x,959,1,NA,x,match,PMT2,neutral
37751,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,rhomboid,label_happy,happy,lbl_happy,x,1256,0,NA,c,match,PMT2,happy
37851,8,52,18,female,Bachelor degree,right-handed,PMT2,3,0 -250; 0 250,octagon,label_you,you,lbl_you,x,684,1,NA,x,match,PMT2,you
37951,8,52,18,female,Bachelor degree,right-handed,NA,NA,0 50,triangle,rhomboid,NA,NA,NA,1643,NA,NA,1,NA,NA,NA
38051,8,52,18,female,Bachelor degree,right-handed,NA,NA,0 50,octagon,diamond,NA,NA,NA,19130,NA,NA,1,NA,NA,NA
38181,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,-400,rhomboid,NA,happy,NA,Yneutral_j,633,1,NA,k,single,RG_incongruent,happy
38253,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400,rhomboid,NA,happy,NA,Yneutral_j,426,1,NA,k,single,RG_incongruent,happy
38351,8,52,18,female,Bachelor degree,right-handed,RG2_YN,1,400; -400,rhomboid,triangle,happyfriend,NA,Yneutral_j,696,0,NA,j,pair,RG_incongruent,happyfriend
