,subjectGroup,subject,age,sex,education,handedness,TaskName,BlockNumber,stimPos,stim1,stim2,left,right,MATCHkey,RT,correct,TaskType,Association,Condition
32,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,pentagon,label_you,1,label_you,n,657,1,PMT1,self,match
33,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,pentagon,label_you,1,label_you,n,800,1,PMT1,self,match
44,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,pentagon,label_you,1,label_you,n,792,1,PMT1,self,match
47,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,pentagon,label_you,1,label_you,n,708,1,PMT1,self,match
64,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,pentagon,label_you,1,label_you,n,758,1,PMT1,self,match
70,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,pentagon,label_you,1,label_you,n,656,1,PMT1,self,match
30,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,kite,label_friend,2,label_friend,n,779,1,PMT1,friend,match
42,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,kite,label_friend,2,label_friend,n,941,1,PMT1,friend,match
54,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,kite,label_friend,2,label_friend,n,692,1,PMT1,friend,match
55,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,kite,label_friend,2,label_friend,n,651,1,PMT1,friend,match
67,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,kite,label_friend,2,label_friend,n,772,1,PMT1,friend,match
73,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,kite,label_friend,2,label_friend,n,789,1,PMT1,friend,match
35,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,trapeze,label_9,3,label_9,n,673,1,PMT1,9,match
41,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,trapeze,label_9,3,label_9,n,711,1,PMT1,9,match
50,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,trapeze,label_9,3,label_9,n,687,1,PMT1,9,match
58,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,trapeze,label_9,3,label_9,n,701,1,PMT1,9,match
60,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,trapeze,label_9,3,label_9,n,719,1,PMT1,9,match
65,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,trapeze,label_9,3,label_9,n,698,1,PMT1,9,match
34,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,square,label_1,4,label_1,n,850,1,PMT1,1,match
39,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,square,label_1,4,label_1,n,955,1,PMT1,1,match
51,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,square,label_1,4,label_1,n,933,1,PMT1,1,match
52,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,square,label_1,4,label_1,n,745,1,PMT1,1,match
61,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,square,label_1,4,label_1,n,676,1,PMT1,1,match
71,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,square,label_1,4,label_1,n,784,1,PMT1,1,match
29,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,pentagon,label_friend,1,label_friend,n,876,1,PMT1,self,mismatch
38,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,pentagon,label_friend,1,label_friend,n,985,1,PMT1,self,mismatch
53,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,pentagon,label_friend,1,label_friend,n,702,1,PMT1,self,mismatch
57,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,pentagon,label_friend,1,label_friend,n,961,1,PMT1,self,mismatch
62,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,pentagon,label_friend,1,label_friend,n,772,1,PMT1,self,mismatch
69,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,pentagon,label_friend,1,label_friend,n,781,1,PMT1,self,mismatch
31,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,kite,label_you,2,label_you,n,614,1,PMT1,friend,mismatch
36,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,kite,label_you,2,label_you,n,897,1,PMT1,friend,mismatch
49,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,kite,label_you,2,label_you,n,947,1,PMT1,friend,mismatch
59,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,kite,label_you,2,label_you,n,731,1,PMT1,friend,mismatch
66,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,kite,label_you,2,label_you,n,954,1,PMT1,friend,mismatch
72,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,kite,label_you,2,label_you,n,795,1,PMT1,friend,mismatch
37,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,trapeze,label_1,3,label_1,n,799,1,PMT1,9,mismatch
40,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,trapeze,label_1,3,label_1,n,822,1,PMT1,9,mismatch
45,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,trapeze,label_1,3,label_1,n,643,1,PMT1,9,mismatch
48,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,trapeze,label_1,3,label_1,n,618,1,PMT1,9,mismatch
74,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,trapeze,label_1,3,label_1,n,767,1,PMT1,9,mismatch
75,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,trapeze,label_1,3,label_1,n,714,1,PMT1,9,mismatch
28,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,square,label_9,4,label_9,n,710,1,PMT1,1,mismatch
43,14,1,21,male,High school or equivalent ,right-handed,PMT1,1,0 -250; 0 250,square,label_9,4,label_9,n,697,1,PMT1,1,mismatch
46,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,square,label_9,4,label_9,n,692,1,PMT1,1,mismatch
56,14,1,21,male,High school or equivalent ,right-handed,PMT1,2,0 -250; 0 250,square,label_9,4,label_9,n,691,1,PMT1,1,mismatch
63,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,square,label_9,4,label_9,n,671,1,PMT1,1,mismatch
68,14,1,21,male,High school or equivalent ,right-handed,PMT1,3,0 -250; 0 250,square,label_9,4,label_9,n,703,1,PMT1,1,mismatch
338,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,octagon,label_you,5,label_you,x,708,1,PMT2,self,match
346,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,octagon,label_you,5,label_you,x,623,1,PMT2,self,match
362,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,octagon,label_you,5,label_you,x,691,1,PMT2,self,match
364,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,octagon,label_you,5,label_you,x,575,1,PMT2,self,match
376,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,octagon,label_you,5,label_you,x,832,1,PMT2,self,match
378,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,octagon,label_you,5,label_you,x,682,1,PMT2,self,match
342,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,diamond,label_friend,6,label_friend,x,672,0,PMT2,friend,match
344,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,diamond,label_friend,6,label_friend,x,644,1,PMT2,friend,match
350,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,diamond,label_friend,6,label_friend,x,835,1,PMT2,friend,match
357,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,diamond,label_friend,6,label_friend,x,832,1,PMT2,friend,match
370,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,diamond,label_friend,6,label_friend,x,917,1,PMT2,friend,match
373,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,diamond,label_friend,6,label_friend,x,876,1,PMT2,friend,match
335,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,triangle,label_9,7,label_9,x,1526,1,PMT2,9,match
347,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,triangle,label_9,7,label_9,x,609,1,PMT2,9,match
349,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,triangle,label_9,7,label_9,x,671,1,PMT2,9,match
354,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,triangle,label_9,7,label_9,x,644,1,PMT2,9,match
371,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,triangle,label_9,7,label_9,x,682,1,PMT2,9,match
377,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,triangle,label_9,7,label_9,x,657,1,PMT2,9,match
336,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,rhomboid,label_1,8,label_1,x,824,0,PMT2,1,match
337,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,rhomboid,label_1,8,label_1,x,769,1,PMT2,1,match
355,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,rhomboid,label_1,8,label_1,x,677,1,PMT2,1,match
356,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,rhomboid,label_1,8,label_1,x,548,1,PMT2,1,match
368,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,rhomboid,label_1,8,label_1,x,672,1,PMT2,1,match
375,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,rhomboid,label_1,8,label_1,x,683,1,PMT2,1,match
341,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,octagon,label_friend,5,label_friend,x,822,1,PMT2,self,mismatch
343,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,octagon,label_friend,5,label_friend,x,926,1,PMT2,self,mismatch
351,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,octagon,label_friend,5,label_friend,x,667,1,PMT2,self,mismatch
360,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,octagon,label_friend,5,label_friend,x,1136,1,PMT2,self,mismatch
369,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,octagon,label_friend,5,label_friend,x,728,1,PMT2,self,mismatch
374,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,octagon,label_friend,5,label_friend,x,666,1,PMT2,self,mismatch
333,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,diamond,label_you,6,label_you,x,501,0,PMT2,friend,mismatch
345,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,diamond,label_you,6,label_you,x,780,1,PMT2,friend,mismatch
359,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,diamond,label_you,6,label_you,x,815,1,PMT2,friend,mismatch
363,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,diamond,label_you,6,label_you,x,705,1,PMT2,friend,mismatch
365,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,diamond,label_you,6,label_you,x,714,1,PMT2,friend,mismatch
367,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,diamond,label_you,6,label_you,x,523,1,PMT2,friend,mismatch
340,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,triangle,label_1,7,label_1,x,722,1,PMT2,9,mismatch
348,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,triangle,label_1,7,label_1,x,707,1,PMT2,9,mismatch
353,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,triangle,label_1,7,label_1,x,643,1,PMT2,9,mismatch
358,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,triangle,label_1,7,label_1,x,705,1,PMT2,9,mismatch
366,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,triangle,label_1,7,label_1,x,601,1,PMT2,9,mismatch
372,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,triangle,label_1,7,label_1,x,584,1,PMT2,9,mismatch
334,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,rhomboid,label_9,8,label_9,x,628,0,PMT2,1,mismatch
339,14,1,21,male,High school or equivalent ,right-handed,PMT2,1,0 -250; 0 250,rhomboid,label_9,8,label_9,x,682,1,PMT2,1,mismatch
352,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,rhomboid,label_9,8,label_9,x,650,1,PMT2,1,mismatch
361,14,1,21,male,High school or equivalent ,right-handed,PMT2,2,0 -250; 0 250,rhomboid,label_9,8,label_9,x,860,1,PMT2,1,mismatch
379,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,rhomboid,label_9,8,label_9,x,665,1,PMT2,1,mismatch
380,14,1,21,male,High school or equivalent ,right-handed,PMT2,3,0 -250; 0 250,rhomboid,label_9,8,label_9,x,721,1,PMT2,1,mismatch
86,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,pentagon,-,1,-,Y9_G,488,1,RG_congruent,self,congruent
94,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,pentagon,-,1,-,Y9_G,633,1,RG_congruent,self,congruent
95,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,pentagon,-,1,-,Y9_G,506,1,RG_congruent,self,congruent
101,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,pentagon,-,1,-,Y9_G,710,1,RG_congruent,self,congruent
103,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,pentagon,-,1,-,Y9_G,625,1,RG_congruent,self,congruent
107,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,pentagon,-,1,-,Y9_G,540,0,RG_congruent,self,congruent
111,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,pentagon,-,1,-,Y9_G,841,1,RG_congruent,self,congruent
116,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,pentagon,-,1,-,Y9_G,755,1,RG_congruent,self,congruent
126,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,pentagon,-,1,-,Y9_G,676,1,RG_congruent,self,congruent
136,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,pentagon,-,1,-,Y9_G,546,1,RG_congruent,self,congruent
140,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,pentagon,-,1,-,Y9_G,699,1,RG_congruent,self,congruent
145,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,pentagon,-,1,-,Y9_G,543,1,RG_congruent,self,congruent
151,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,pentagon,-,1,-,Y9_G,718,1,RG_congruent,self,congruent
158,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,pentagon,-,1,-,Y9_G,725,1,RG_congruent,self,congruent
164,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,pentagon,-,1,-,Y9_G,673,1,RG_congruent,self,congruent
179,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,pentagon,-,1,-,Y9_G,716,1,RG_congruent,self,congruent
185,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,pentagon,-,1,-,Y9_G,964,1,RG_congruent,self,congruent
190,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,pentagon,-,1,-,Y9_G,766,1,RG_congruent,self,congruent
192,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,pentagon,-,1,-,Y9_G,656,1,RG_congruent,self,congruent
197,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,pentagon,-,1,-,Y9_G,555,1,RG_congruent,self,congruent
204,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,pentagon,-,1,-,Y9_G,726,1,RG_congruent,self,congruent
206,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,pentagon,-,1,-,Y9_G,588,1,RG_congruent,self,congruent
211,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,pentagon,-,1,-,Y9_G,562,1,RG_congruent,self,congruent
215,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,pentagon,-,1,-,Y9_G,708,1,RG_congruent,self,congruent
227,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,pentagon,-,1,-,Y9_G,700,1,RG_congruent,self,congruent
233,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,pentagon,-,1,-,Y9_G,683,1,RG_congruent,self,congruent
237,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,pentagon,-,1,-,Y9_G,667,1,RG_congruent,self,congruent
241,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,pentagon,-,1,-,Y9_G,588,1,RG_congruent,self,congruent
242,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,pentagon,-,1,-,Y9_G,591,1,RG_congruent,self,congruent
251,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,pentagon,-,1,-,Y9_G,670,1,RG_congruent,self,congruent
79,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,kite,-,2,-,Y9_G,537,1,RG_congruent,friend,congruent
104,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,kite,-,2,-,Y9_G,691,1,RG_congruent,friend,congruent
112,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,kite,-,2,-,Y9_G,610,1,RG_congruent,friend,congruent
115,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,kite,-,2,-,Y9_G,634,1,RG_congruent,friend,congruent
121,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,kite,-,2,-,Y9_G,582,1,RG_congruent,friend,congruent
122,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,kite,-,2,-,Y9_G,682,1,RG_congruent,friend,congruent
127,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,kite,-,2,-,Y9_G,539,1,RG_congruent,friend,congruent
130,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,kite,-,2,-,Y9_G,628,1,RG_congruent,friend,congruent
133,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,kite,-,2,-,Y9_G,647,1,RG_congruent,friend,congruent
134,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,kite,-,2,-,Y9_G,688,1,RG_congruent,friend,congruent
146,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,kite,-,2,-,Y9_G,549,1,RG_congruent,friend,congruent
149,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,kite,-,2,-,Y9_G,616,1,RG_congruent,friend,congruent
150,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,kite,-,2,-,Y9_G,561,1,RG_congruent,friend,congruent
155,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,kite,-,2,-,Y9_G,641,1,RG_congruent,friend,congruent
156,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,kite,-,2,-,Y9_G,489,1,RG_congruent,friend,congruent
163,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,kite,-,2,-,Y9_G,657,1,RG_congruent,friend,congruent
173,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,kite,-,2,-,Y9_G,586,1,RG_congruent,friend,congruent
175,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,kite,-,2,-,Y9_G,477,1,RG_congruent,friend,congruent
178,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,kite,-,2,-,Y9_G,602,1,RG_congruent,friend,congruent
188,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,kite,-,2,-,Y9_G,593,1,RG_congruent,friend,congruent
198,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,kite,-,2,-,Y9_G,611,1,RG_congruent,friend,congruent
202,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,kite,-,2,-,Y9_G,497,1,RG_congruent,friend,congruent
208,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,kite,-,2,-,Y9_G,701,1,RG_congruent,friend,congruent
210,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,kite,-,2,-,Y9_G,573,1,RG_congruent,friend,congruent
213,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,kite,-,2,-,Y9_G,514,1,RG_congruent,friend,congruent
217,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,kite,-,2,-,Y9_G,712,1,RG_congruent,friend,congruent
219,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,kite,-,2,-,Y9_G,665,1,RG_congruent,friend,congruent
224,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,kite,-,2,-,Y9_G,610,1,RG_congruent,friend,congruent
247,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,kite,-,2,-,Y9_G,526,1,RG_congruent,friend,congruent
254,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,kite,-,2,-,Y9_G,633,1,RG_congruent,friend,congruent
78,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,trapeze,-,3,-,Y9_G,489,1,RG_congruent,9,congruent
83,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,trapeze,-,3,-,Y9_G,523,1,RG_congruent,9,congruent
89,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,trapeze,-,3,-,Y9_G,522,1,RG_congruent,9,congruent
91,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,trapeze,-,3,-,Y9_G,609,1,RG_congruent,9,congruent
96,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,trapeze,-,3,-,Y9_G,433,0,RG_congruent,9,congruent
109,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,trapeze,-,3,-,Y9_G,641,1,RG_congruent,9,congruent
114,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,trapeze,-,3,-,Y9_G,717,1,RG_congruent,9,congruent
123,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,trapeze,-,3,-,Y9_G,553,1,RG_congruent,9,congruent
129,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,trapeze,-,3,-,Y9_G,593,1,RG_congruent,9,congruent
132,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,trapeze,-,3,-,Y9_G,613,1,RG_congruent,9,congruent
141,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,trapeze,-,3,-,Y9_G,465,0,RG_congruent,9,congruent
152,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,trapeze,-,3,-,Y9_G,603,1,RG_congruent,9,congruent
165,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,trapeze,-,3,-,Y9_G,624,1,RG_congruent,9,congruent
167,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,trapeze,-,3,-,Y9_G,564,1,RG_congruent,9,congruent
168,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,trapeze,-,3,-,Y9_G,522,1,RG_congruent,9,congruent
171,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,trapeze,-,3,-,Y9_G,613,1,RG_congruent,9,congruent
174,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,trapeze,-,3,-,Y9_G,677,1,RG_congruent,9,congruent
182,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,trapeze,-,3,-,Y9_G,576,1,RG_congruent,9,congruent
184,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,trapeze,-,3,-,Y9_G,603,1,RG_congruent,9,congruent
187,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,trapeze,-,3,-,Y9_G,598,1,RG_congruent,9,congruent
209,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,trapeze,-,3,-,Y9_G,611,1,RG_congruent,9,congruent
218,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,trapeze,-,3,-,Y9_G,590,1,RG_congruent,9,congruent
221,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,trapeze,-,3,-,Y9_G,621,1,RG_congruent,9,congruent
230,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,trapeze,-,3,-,Y9_G,631,1,RG_congruent,9,congruent
231,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,trapeze,-,3,-,Y9_G,632,1,RG_congruent,9,congruent
234,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,trapeze,-,3,-,Y9_G,578,1,RG_congruent,9,congruent
239,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,trapeze,-,3,-,Y9_G,597,1,RG_congruent,9,congruent
244,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,trapeze,-,3,-,Y9_G,630,1,RG_congruent,9,congruent
255,14,1,21,male,High school or equivalent ,right-handed,RG1,3,-400,trapeze,-,3,-,Y9_G,633,1,RG_congruent,9,congruent
257,14,1,21,male,High school or equivalent ,right-handed,RG1,3,400,trapeze,-,3,-,Y9_G,573,1,RG_congruent,9,congruent
81,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,square,-,4,-,Y9_G,556,1,RG_congruent,1,congruent
84,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,square,-,4,-,Y9_G,504,1,RG_congruent,1,congruent
90,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,square,-,4,-,Y9_G,616,1,RG_congruent,1,congruent
93,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,square,-,4,-,Y9_G,481,1,RG_congruent,1,congruent
100,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,square,-,4,-,Y9_G,771,1,RG_congruent,1,congruent
102,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,square,-,4,-,Y9_G,724,1,RG_congruent,1,congruent
108,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,square,-,4,-,Y9_G,682,1,RG_congruent,1,congruent
110,14,1,21,male,High school or equivalent ,right-handed,RG1,1,400,square,-,4,-,Y9_G,682,1,RG_congruent,1,congruent
124,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,square,-,4,-,Y9_G,567,1,RG_congruent,1,congruent
137,14,1,21,male,High school or equivalent ,right-handed,RG1,1,-400,square,-,4,-,Y9_G,609,1,RG_congruent,1,congruent
138,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,square,-,4,-,Y9_G,467,1,RG_congruent,1,congruent
139,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,square,-,4,-,Y9_G,475,1,RG_congruent,1,congruent
142,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,square,-,4,-,Y9_G,618,1,RG_congruent,1,congruent
153,14,1,21,male,High school or equivalent ,right-handed,RG1,2,400,square,-,4,-,Y9_G,502,1,RG_congruent,1,congruent
159,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,square,-,4,-,Y9_G,706,1,RG_congruent,1,congruent
160,14,1,21,male,High school or equivalent ,right-handed,RG1,2,-400,square,-,4,-,Y9_G,680,1,RG_congruent,1,congruent
